RowID,Time,DimerConc
184,47.5,0.0253630666710851
185,47.75,0.024866892818159753
186,48.0,0.024386838819607213
187,48.25,0.023883626095142704
188,48.5,0.023378440316287396
189,48.75,0.022887228695154905
190,49.0,0.022414968261446004
191,49.25,0.02192722921604131
192,49.5,0.021482774051334697
193,49.75,0.021034111348139713
194,50.0,0.020593725608114115
195,50.25,0.020150543063489564
196,50.5,0.01901661390719135
197,50.75,0.01793385098388245
198,51.0,0.016866310175198535
199,51.25,0.01581492868197524
200,51.5,0.015081712074539701
201,51.75,0.014351302136975068
202,52.0,0.013627492066347648
203,52.25,0.012889392149294888
204,52.5,0.01216066424059841
205,52.75,0.011433628226042039
206,53.0,0.01069238128723596
207,53.25,0.009954631587337566
208,53.5,0.009218282756056639
209,53.75,0.008473972650308852
210,54.0,0.007767313354973421
211,54.25,0.007753398388882334
212,54.5,0.007574200656474294
213,54.75,0.007372776466353939
214,55.0,0.007113832808105913
215,55.25,0.006871822889166892
216,55.5,0.0064892279122477
217,55.75,0.0060988097746690045
218,56.0,0.00574008875587844
219,56.25,0.0053377435045073845
220,56.5,0.004943734407937439
221,56.75,0.004557124265332979
222,57.0,0.004176827896779065
223,57.25,0.003807832197248433
224,57.5,0.0034299380224153122
225,57.75,0.0031842680875813646
226,58.0,0.002934809888317089
227,58.25,0.002870670822708298
228,58.5,0.0028694869900738208
229,58.75,0.0033084126698502293
230,59.0,0.003753153927443508
231,59.25,0.00433446014469571
232,59.5,0.004916057387470554
233,59.75,0.005499376120201367
234,60.0,0.00609434573910983
235,60.25,0.00668535445132877
236,60.5,0.0073012137835997805
237,60.75,0.007940325561866319
238,61.0,0.009061242424457236
239,61.25,0.010193080143101203
240,61.5,0.01117956787741123
241,61.75,0.012189835849766321
242,62.0,0.013173467587845673
243,62.25,0.014102411190848145
244,62.5,0.01460921980693988
245,62.75,0.015136212769449453
246,63.0,0.01565145126042586
247,63.25,0.016177980555153598
248,63.5,0.016696277280435743
249,63.75,0.01724857466550727
250,64.0,0.018147009914992063
251,64.25,0.019002422713485557
252,64.5,0.019851482276840686
253,64.75,0.020194512580588447
254,65.0,0.02056820414956917
255,65.25,0.0209040821311503
256,65.5,0.02126775058382578
257,65.75,0.021625608391320373
258,66.0,0.02199000687412045
259,66.25,0.02236073886151498
260,66.5,0.02272272528532231
