RowID,Time,Capacity
6577,185.086998,26.46058608
6578,185.121666,26.56455912
6579,185.15633399999996,26.6685318
6580,185.191002,26.77250484
6581,185.225664,26.876477519999998
6582,185.260332,26.980450559999998
6583,185.295,27.08442324
6584,185.329668,27.18839628
6585,185.364336,27.29236932
6586,185.398998,27.396342
6587,185.43366600000002,27.50031504
6588,185.468334,27.60428772
6589,185.503002,27.708260759999998
6590,185.537664,27.812233799999998
6591,185.57233199999996,27.916206839999997
6592,185.607,28.02017952
6593,185.641668,28.12415256
6594,185.676336,28.228125600000002
6595,185.710998,28.33209864
6596,185.745666,28.436071319999996
6597,185.780334,28.540044359999996
6598,185.81500200000002,28.64401704
6599,185.84966400000002,28.74799008
6600,185.884332,28.85196312
6601,185.919,28.955935799999995
6602,185.95366799999996,29.059908839999995
6603,185.988336,29.16388152
6604,186.022998,29.26785456
6605,186.057666,29.371827239999995
6606,186.092334,29.475799920000004
6607,186.127002,29.5797726
6608,186.161664,29.683745639999998
6609,186.196332,29.787718320000003
6610,186.23100000000002,29.891690999999998
6611,186.265668,29.995664039999998
6612,186.30033600000002,30.099636720000003
6613,186.334998,30.203609399999998
6614,186.36966599999997,30.307582439999997
6615,186.404334,30.411555119999992
6616,186.43900200000002,30.515528160000006
6617,186.473664,30.619501200000006
6618,186.508332,30.72347388
6619,186.543,30.82744692
6620,186.57766800000002,30.931419599999995
6621,186.61233600000003,31.035392640000005
6622,186.64699800000002,31.139365680000004
6623,186.681666,31.24333836
6624,186.71633400000002,31.3473114
6625,186.75100199999997,31.45128444
6626,186.78566399999997,31.555257120000004
6627,186.820332,31.659230160000003
6628,186.85500000000002,31.763203200000003
6629,186.889668,31.867175879999998
6630,186.92433599999998,31.971148919999997
6631,186.958998,32.07512196
6632,186.99366600000002,32.17909464
6633,187.02833400000003,32.28306768
6634,187.06300199999998,32.38704036
6635,187.097664,32.4910134
6636,187.13233200000002,32.59498644
6637,187.16699999999997,32.698959120000005
6638,187.20166799999998,32.802931799999996
6639,187.23633600000002,32.906904839999996
6640,187.27099800000002,33.010877519999994
6641,187.305666,33.11485056000001
6642,187.34033399999998,33.21882324
6643,187.37500200000002,33.32279592
6644,187.40966400000002,33.42676895999999
6645,187.44433200000003,33.530742000000004
6646,187.47899999999998,33.63471468
6647,187.51366799999997,33.73868772
6648,187.54833599999998,33.84266039999999
6649,187.58299799999998,33.94663343999999
6650,187.61766599999999,34.050606480000006
6651,187.652334,34.15457916
6652,187.687002,34.2585522
6653,187.721664,34.362524879999995
6654,187.756332,34.46649756
6655,187.79100000000003,34.5704706
6656,187.82566800000004,34.67444327999999
6657,187.860336,34.778415960000004
6658,187.894998,34.882389
6659,187.92966599999997,34.986361679999995
6660,187.96433399999998,35.09033436
6661,187.999002,35.1943074
6662,188.033664,35.29828008
6663,188.068332,35.40225276
6664,188.103,35.5062258
6665,188.137668,35.61019848
6666,188.17233600000003,35.71417152
6667,188.20699800000003,35.81814455999999
